dimension,segment,period,users,visits,meaningful_visits,meaningful_rate,product_visits,product_rate,catalog_landing_visits,catalog_to_product_visits,catalog_to_product_rate,intent_visits,intent_rate,intent_confidence
campaign,hlights,Низкий объём · июнь–июль,4,6,6,1.0,6,1.0,0,0,,0,0.0,Недостаточно данных
campaign,DDD_Dubai_wide_2,Низкий объём · июнь–июль,1,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
campaign,Welcome — your 10% code is waiting_157793910829,Низкий объём · июнь–июль,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagsold,Низкий объём · июнь–июль,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,(none),Органика · март,784,1022,536,0.5244618395303327,440,0.43052837573385516,213,70,0.3286384976525822,6,0.005870841487279843,Недостаточно данных
campaign,bio),Органика · март,65,79,33,0.4177215189873418,28,0.35443037974683544,71,22,0.30985915492957744,0,0.0,Недостаточно данных
campaign,{{campaign.name}},Органика · март,3,8,2,0.25,0,0.0,8,0,0.0,0,0.0,Недостаточно данных
campaign,"Новая кампания с целью ""Лиды""",Органика · март,7,7,2,0.2857142857142857,1,0.14285714285714285,7,1,0.14285714285714285,0,0.0,Недостаточно данных
campaign,sag_organic,Органика · март,4,4,4,1.0,4,1.0,0,0,,0,0.0,Недостаточно данных
campaign,bagsnew),Органика · март,3,3,2,0.6666666666666666,2,0.6666666666666666,3,2,0.6666666666666666,0,0.0,Недостаточно данных
campaign,DDD_Dubai_wide_2,Органика · март,1,2,0,0.0,0,0.0,2,0,0.0,0,0.0,Недостаточно данных
campaign,bagsold,Органика · март,2,2,0,0.0,0,0.0,2,0,0.0,0,0.0,Недостаточно данных
campaign,bio,Органика · март,2,2,0,0.0,0,0.0,2,0,0.0,0,0.0,Недостаточно данных
campaign,hlights,Органика · март,2,2,2,1.0,2,1.0,0,0,,0,0.0,Недостаточно данных
campaign,DDD_Dubai_wide_1,Органика · март,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
campaign,bagetsilver,Органика · март,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
campaign,САЙТ 14.04.26,Разрыв данных · апрель–июнь,6,13,0,0.0,0,0.0,13,0,0.0,0,0.0,Недостаточно данных
campaign,(none),Разрыв данных · апрель–июнь,3,8,2,0.25,2,0.25,1,0,0.0,0,0.0,Недостаточно данных
campaign,DDD_Dubai_wide_2,Разрыв данных · апрель–июнь,1,4,0,0.0,0,0.0,4,0,0.0,0,0.0,Недостаточно данных
campaign,bio),Разрыв данных · апрель–июнь,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,6,Волна 1 · январь–февраль,5549,6039,236,0.03907931776784236,195,0.03229011425732737,6023,181,0.030051469367424873,45,0.007451564828614009,Слабый сигнал
content,3,Волна 1 · январь–февраль,3892,4218,173,0.04101469890943575,148,0.03508771929824561,4196,125,0.02979027645376549,22,0.005215742057847321,Слабый сигнал
content,16,Волна 1 · январь–февраль,2276,2500,86,0.0344,75,0.03,2487,62,0.024929634097305992,6,0.0024,Недостаточно данных
content,(none),Волна 1 · январь–февраль,1541,1819,1187,0.6525563496426608,975,0.5360087960417812,395,92,0.23291139240506328,148,0.08136338647608576,Можно сравнивать
content,14,Волна 1 · январь–февраль,1462,1736,97,0.05587557603686636,94,0.05414746543778802,1695,54,0.03185840707964602,2,0.001152073732718894,Недостаточно данных
content,5,Волна 1 · январь–февраль,1095,1159,54,0.04659188955996549,48,0.04141501294219154,1155,44,0.0380952380952381,5,0.004314063848144953,Недостаточно данных
content,12,Волна 1 · январь–февраль,771,808,31,0.038366336633663366,27,0.03341584158415842,802,22,0.02743142144638404,3,0.0037128712871287127,Недостаточно данных
content,15,Волна 1 · январь–февраль,698,768,17,0.022135416666666668,13,0.016927083333333332,767,12,0.01564537157757497,5,0.006510416666666667,Недостаточно данных
content,13,Волна 1 · январь–февраль,643,675,88,0.13037037037037036,87,0.1288888888888889,659,71,0.10773899848254932,0,0.0,Недостаточно данных
content,4,Волна 1 · январь–февраль,500,514,25,0.048638132295719845,23,0.04474708171206226,511,20,0.03913894324853229,3,0.005836575875486381,Недостаточно данных
content,11,Волна 1 · январь–февраль,406,421,14,0.0332541567695962,10,0.023752969121140142,418,6,0.014354066985645933,2,0.004750593824228029,Недостаточно данных
content,2,Волна 1 · январь–февраль,387,398,91,0.228643216080402,88,0.22110552763819097,364,54,0.14835164835164835,3,0.007537688442211055,Недостаточно данных
content,1,Волна 1 · январь–февраль,368,376,50,0.13297872340425532,47,0.125,356,27,0.07584269662921349,1,0.0026595744680851063,Недостаточно данных
content,10,Волна 1 · январь–февраль,247,253,12,0.04743083003952569,10,0.039525691699604744,252,9,0.03571428571428571,2,0.007905138339920948,Недостаточно данных
content,9,Волна 1 · январь–февраль,209,212,10,0.04716981132075472,6,0.02830188679245283,209,4,0.019138755980861243,2,0.009433962264150943,Недостаточно данных
content,link_in_bio,Волна 1 · январь–февраль,170,199,78,0.39195979899497485,72,0.36180904522613067,185,59,0.31891891891891894,6,0.03015075376884422,Недостаточно данных
content,8,Волна 1 · январь–февраль,183,185,8,0.043243243243243246,4,0.021621621621621623,184,4,0.021739130434782608,3,0.016216216216216217,Недостаточно данных
content,7,Волна 1 · январь–февраль,58,58,8,0.13793103448275862,8,0.13793103448275862,53,3,0.05660377358490566,0,0.0,Недостаточно данных
content,Facebook_UA,Волна 1 · январь–февраль,46,49,48,0.9795918367346939,48,0.9795918367346939,1,0,0.0,1,0.02040816326530612,Недостаточно данных
content,120239979561640764,Волна 1 · январь–февраль,7,7,1,0.14285714285714285,1,0.14285714285714285,7,1,0.14285714285714285,0,0.0,Недостаточно данных
content,120239979561630764,Волна 1 · январь–февраль,5,5,1,0.2,1,0.2,5,1,0.2,0,0.0,Недостаточно данных
content,120239979561620764,Волна 1 · январь–февраль,3,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
content,120239977513230764,Волна 1 · январь–февраль,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
content,120240093969070764,Волна 1 · январь–февраль,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,{{ad.name}},Волна 1 · январь–февраль,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
content,пост,Волна 2 · апрель,23348,31875,1624,0.050949019607843135,1468,0.046054901960784315,31652,1278,0.04037659547579932,137,0.004298039215686274,Можно сравнивать
content,(none),Волна 2 · апрель,1287,1447,1078,0.7449896337249482,914,0.6316516931582584,123,39,0.3170731707317073,93,0.06427090532135453,Направленный сигнал
content,link_in_bio,Волна 2 · апрель,165,175,67,0.38285714285714284,63,0.36,164,56,0.34146341463414637,3,0.017142857142857144,Недостаточно данных
content,1 — Копия,Волна 2 · апрель,87,88,20,0.22727272727272727,19,0.2159090909090909,86,18,0.20930232558139536,0,0.0,Недостаточно данных
content,{{ad.name}},Волна 2 · апрель,6,17,5,0.29411764705882354,3,0.17647058823529413,14,2,0.14285714285714285,2,0.11764705882352941,Недостаточно данных
content,11,Волна 2 · апрель,12,12,0,0.0,0,0.0,12,0,0.0,0,0.0,Недостаточно данных
content,16,Волна 2 · апрель,3,3,3,1.0,3,1.0,0,0,,0,0.0,Недостаточно данных
content,6,Волна 2 · апрель,2,3,1,0.3333333333333333,1,0.3333333333333333,2,0,0.0,0,0.0,Недостаточно данных
content,15,Волна 2 · апрель,2,2,0,0.0,0,0.0,2,0,0.0,0,0.0,Недостаточно данных
content,2,Волна 2 · апрель,1,2,1,0.5,1,0.5,2,1,0.5,0,0.0,Недостаточно данных
content,3,Волна 2 · апрель,2,2,2,1.0,2,1.0,0,0,,0,0.0,Недостаточно данных
content,230426,Волна 2 · апрель,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,5,Волна 2 · апрель,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,8,Волна 2 · апрель,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,Facebook_UA,Волна 2 · апрель,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,пост,Все периоды,23350,31888,1624,0.05092824887104867,1468,0.04603612644254892,31665,1278,0.0403600189483657,137,0.0042962870045158055,Можно сравнивать
content,6,Все периоды,5549,6051,237,0.039167079821517105,196,0.03239134027433482,6034,181,0.029996685449121645,45,0.0074367873078829945,Слабый сигнал
content,(none),Все периоды,4037,4983,3184,0.6389725065221754,2574,0.5165562913907285,816,219,0.26838235294117646,260,0.05217740317078066,Можно сравнивать
content,3,Все периоды,3897,4225,179,0.042366863905325444,154,0.03644970414201183,4197,125,0.02978317846080534,22,0.005207100591715977,Слабый сигнал
content,16,Все периоды,2276,2503,89,0.035557331202556934,78,0.03116260487415102,2487,62,0.024929634097305992,6,0.0023971234518577705,Недостаточно данных
content,14,Все периоды,1463,1737,97,0.055843408175014396,94,0.05411629245826137,1696,54,0.031839622641509434,2,0.0011514104778353484,Недостаточно данных
content,5,Все периоды,1095,1160,55,0.04741379310344827,49,0.04224137931034483,1155,44,0.0380952380952381,5,0.004310344827586207,Недостаточно данных
content,12,Все периоды,771,808,31,0.038366336633663366,27,0.03341584158415842,802,22,0.02743142144638404,3,0.0037128712871287127,Недостаточно данных
content,15,Все периоды,700,770,17,0.02207792207792208,13,0.016883116883116882,769,12,0.015604681404421327,5,0.006493506493506494,Недостаточно данных
